card_id,name,set_name,market_price,predicted_relative_return,pred_lo90,pred_hi90,percentile,direction_flag,direction_flag_percentile,signal_strength,top3_drivers,cardmarket_eur_avg30,cardmarket_eur_trend,cardmarket_eur_usd_div_z
swsh7-191,Dragonite V,Evolving Skies,39.64,0.049159860325182665,-0.09901582733211378,0.22593550453371802,80.9623430962343,none,none,strong,premium_asof +0.09; set_age +0.09; log_price -0.07,21.12,21.33,-1.4854730422418758
sv1-245,Gardevoir ex,Scarlet & Violet,71.96,0.049136516379456624,-0.13084510304840002,0.28006800716427493,80.75313807531381,none,none,strong,log_price -0.11; mispricing +0.06; rarity_SIR +0.05,62.92,64.45,-0.07184102557319826
sv3-216,Revavroom ex,Obsidian Flames,0.95,0.04851975384728008,-0.18938938780468048,0.29777949716073815,80.5439330543933,none,none,strong,log_price +0.17; premium_asof -0.10; vol_6m -0.07,0.95,0.97,0.424021001976837
swsh12-177,Unown V,Silver Tempest,30.54,0.048394610186317945,-0.0997810774709785,0.2251702543948533,80.3347280334728,none,none,strong,log_price -0.05; set_age +0.04; mispricing +0.02,28.47,34.0,0.7887188973254139
swsh12-176,Unown V,Silver Tempest,3.5,0.04817461130477452,-0.10000107635252192,0.22495025551330988,80.1255230125523,none,none,strong,log_price +0.09; mispricing -0.05; artwork -0.04,3.44,3.56,0.40856279808311824
sv4-253,Altaria ex,Paradox Rift,54.73,0.048087683792092835,-0.13189393563576382,0.2790191745769111,79.9163179916318,none,none,strong,log_price -0.09; rarity_SIR +0.05; mispricing +0.04,60.29,52.74,0.19702554799858588
sv5-196,Raging Bolt ex,Temporal Forces,3.59,0.047450244519994876,-0.19045889713196568,0.2967099878334529,79.70711297071131,none,none,strong,log_price +0.08; mispricing -0.05; premium_asof +0.04,3.0,2.88,-0.4411515174272166
sv3pt5-201,Alakazam ex,151,70.78,0.04741515734651932,-0.13256646208133732,0.2783466481313376,79.49790794979079,none,none,strong,log_price -0.11; mispricing +0.08; rarity_SIR +0.05,75.16,73.71,0.5044527513538455
swsh10-164,Virizion V,Astral Radiance,2.2,0.04727289840668993,-0.1009027892506065,0.2240485426152253,79.2887029288703,none,none,strong,log_price +0.12; premium_asof -0.10; mispricing -0.06,2.87,3.03,1.8324201207200783
sv5-218,Raging Bolt ex,Temporal Forces,12.63,0.047246805691056375,-0.0900951415296384,0.23124570878689493,79.07949790794979,none,none,strong,artwork -0.04; premium_asof +0.04; appeal_missing -0.01,12.38,11.39,-0.047388783736285
swsh10-172,Machamp V,Astral Radiance,199.29,0.0470866140541965,-0.10108907360309993,0.22386225826273187,78.8702928870293,none,none,strong,log_price -0.18; mispricing +0.16; set_age +0.06,144.21,147.9,-0.6787464891377806
swsh7-219,Duraludon VMAX,Evolving Skies,6.81,0.04701388786578014,-0.1057974360470007,0.16240211214265987,78.66108786610879,none,none,strong,set_age +0.09; premium_asof -0.07; log_price +0.04,7.63,7.28,0.6136559544084746
sv6-222,Bloodmoon Ursaluna ex,Twilight Masquerade,8.11,0.046993239053199555,-0.09034870816749524,0.2309921421490381,78.45188284518828,none,none,strong,premium_asof -0.07; log_price +0.03; artwork -0.03,9.44,13.54,2.987981775946755
sv3pt5-186,Ninetales ex,151,14.75,0.04672974409726411,-0.19117939755469646,0.2959894874107222,78.24267782426779,none,none,strong,premium_asof +0.07; vol_6m -0.05; rarity_UR -0.03,15.64,20.92,1.9946511032041763
sv4pt5-233,Gardevoir ex,Paldean Fates,172.99,0.0466616909926149,-0.13331992843524176,0.2775931817774332,78.03347280334728,none,none,strong,log_price -0.17; mispricing +0.06; rarity_SIR +0.05,163.39,150.59,-0.17117349766714063
sv1-244,Miraidon ex,Scarlet & Violet,24.72,0.046218207939121,-0.13376341148873566,0.2771496987239393,77.82426778242679,none,none,strong,mispricing +0.06; rarity_SIR +0.05; log_price -0.04,23.83,20.72,-0.29897808877541965
swsh10-190,Hisuian Lilligant VSTAR,Astral Radiance,7.85,0.045713352541870936,-0.10709797137090991,0.16110157681875065,77.61506276150628,none,none,strong,set_age +0.06; mispricing -0.05; premium_asof -0.04,6.53,6.31,-0.4348522569882137
swsh11-188,Pidgeot V,Lost Origin,2.7,0.045644157721567685,-0.10253152993572875,0.22241980193010305,77.40585774058577,none,none,strong,log_price +0.10; mispricing -0.05; set_age +0.05,3.03,3.06,0.867948908668237
sv3-213,Glimmora ex,Obsidian Flames,1.12,0.04561453080930167,-0.1922946108426589,0.2948742741227597,77.19665271966527,none,none,strong,log_price +0.16; premium_asof -0.09; artwork -0.04,0.94,0.94,-0.2946368425051685
swsh12-196,Serperior VSTAR,Silver Tempest,7.14,0.04553885814434542,-0.10727246576843544,0.16092708242122514,76.98744769874477,none,none,strong,premium_asof -0.06; log_price +0.04; set_age +0.04,6.95,7.76,0.6841058653771815
swsh10-174,Hisuian Sneasler V,Astral Radiance,5.08,0.045508091737206983,-0.10266759592008945,0.22228373594574236,76.77824267782427,none,none,strong,log_price +0.06; set_age +0.06; mispricing -0.06,4.99,4.41,-0.18067238125813365
swsh10-191,Heatran VMAX,Astral Radiance,6.67,0.044927278231105955,-0.1078840456816749,0.16031550250798568,76.56903765690377,none,none,strong,premium_asof -0.12; set_age +0.06; log_price +0.04,6.78,6.25,0.09182382592384546
sv8pt5-179,Pikachu ex,Prismatic Evolutions,61.21,0.04473702581380638,-0.0926049214068884,0.22873592890964495,76.35983263598327,none,none,strong,premium_asof +0.11; log_price -0.10; set_age -0.04,66.65,60.03,0.26456486836314946
swsh10-208,Origin Forme Palkia VSTAR,Astral Radiance,12.11,0.04418750416550288,-0.13752986071870002,0.24209249131619176,76.15062761506276,none,none,strong,set_age +0.06; mispricing -0.04; vol_6m +0.04,13.49,13.23,0.70644767960818
sv6-190,Teal Mask Ogerpon ex,Twilight Masquerade,5.22,0.04334160190151891,-0.19456753975044166,0.29260134521497694,75.94142259414227,none,none,strong,log_price +0.06; vol_6m -0.05; premium_asof -0.03,4.17,4.37,-0.3030225650344562
sv4-252,Gholdengo ex,Paradox Rift,31.59,0.04274384930735936,-0.1372377701204973,0.27367534009217764,75.73221757322176,none,none,strong,log_price -0.06; mispricing +0.05; rarity_SIR +0.05,24.5,24.57,-0.5378227958545307
swsh12-184,Regidrago V,Silver Tempest,29.14,0.04270702793080473,-0.10546865972649172,0.21948267213934008,75.52301255230127,none,none,strong,mispricing +0.07; log_price -0.05; premium_asof -0.05,28.27,27.0,0.05042801821631687
sv4-261,Iron Valiant ex,Paradox Rift,5.35,0.04187234757452341,-0.09546959964617138,0.22587125067036196,75.31380753138075,none,none,strong,premium_asof -0.08; log_price +0.06; mispricing +0.04,3.84,4.14,-0.553424234164071
