card_id,name,set_id,set_name,number,rarity,variant,eu_eur,eu_usd,us_usd,ratio,gap_pct,gap_usd,obs_dates,flags
swsh12-22,Rapidash,swsh12,Silver Tempest,22,Rare Holo,holo,0.28,0.32625600000000005,0.32,1.0195500000000002,1.9550000000000178,0.006256000000000039,8,penny
sv4-154,Tandemaus,sv4,Paradox Rift,154,Common,normal,0.05,0.058260000000000006,0.25,0.23304000000000002,-76.696,-0.19174,8,penny
sv4-154,Tandemaus,sv4,Paradox Rift,154,Common,holo,0.12,0.139824,0.31,0.45104516129032257,-54.895483870967745,-0.170176,8,penny
sv4-165,Larry,sv4,Paradox Rift,165,Common,normal,0.03,0.034956,0.15,0.23304000000000002,-76.696,-0.115044,8,penny
sv4-165,Larry,sv4,Paradox Rift,165,Common,holo,0.12,0.139824,0.27,0.5178666666666667,-48.21333333333333,-0.13017600000000001,8,penny
sv9-50,Togedemaru,sv9,Journey Together,50,Common,normal,0.04,0.046608000000000004,0.15,0.31072000000000005,-68.92799999999998,-0.10339199999999998,7,penny
sv9-50,Togedemaru,sv9,Journey Together,50,Common,holo,0.1,0.11652000000000001,0.2,0.5826,-41.74,-0.08348,7,penny
sv4-49,Golisopod,sv4,Paradox Rift,49,Rare,normal,0.11,0.128172,0.23,0.5572695652173913,-44.27304347826087,-0.101828,8,penny
sv4-49,Golisopod,sv4,Paradox Rift,49,Rare,holo,0.21,0.244692,0.23,1.0638782608695652,6.387826086956516,0.014691999999999983,8,penny
sv4-222,Tapu Koko ex,sv4,Paradox Rift,222,Ultra Rare,normal,1.84,2.143968,2.02,1.061370297029703,6.137029702970298,0.12396800000000008,11,
sv10-139,Arven's Mabosstiff ex,sv10,Destined Rivals,139,Double Rare,normal,0.48,0.559296,0.69,0.8105739130434784,-18.94260869565216,-0.13070399999999993,8,penny
swsh7-159,Snow Leaf Badge,swsh7,Evolving Skies,159,Uncommon,normal,0.13,0.151476,0.07,2.1639428571428567,116.39428571428567,0.08147599999999999,8,penny
swsh7-159,Snow Leaf Badge,swsh7,Evolving Skies,159,Uncommon,holo,0.26,0.302952,0.15,2.01968,101.96800000000002,0.152952,8,penny
sv3-26,Charmander,sv3,Obsidian Flames,26,Common,normal,0.05,0.058260000000000006,0.26,0.2240769230769231,-77.5923076923077,-0.20174,8,penny
sv3-26,Charmander,sv3,Obsidian Flames,26,Common,holo,0.25,0.2913,0.36,0.8091666666666667,-19.08333333333333,-0.06869999999999998,8,penny
swsh11-31,Poliwhirl,swsh11,Lost Origin,31,Uncommon,normal,0.04,0.046608000000000004,0.18,0.25893333333333335,-74.10666666666667,-0.13339199999999998,8,penny
swsh11-31,Poliwhirl,swsh11,Lost Origin,31,Uncommon,holo,0.23,0.267996,0.27,0.9925777777777778,-0.7422222222222219,-0.0020040000000000058,8,penny
me2pt5-223,Numel,me2pt5,Ascended Heroes,223,Illustration Rare,normal,4.31,5.022011999999999,4.69,1.0707914712153515,7.079147121535145,0.33201199999999886,7,
sv5-20,Bramblin,sv5,Temporal Forces,20,Common,normal,0.03,0.034956,0.13,0.2688923076923077,-73.11076923076922,-0.095044,8,penny
sv5-20,Bramblin,sv5,Temporal Forces,20,Common,holo,0.1,0.11652000000000001,0.17,0.6854117647058824,-31.45882352941176,-0.05348,8,penny
swsh7-160,Spirit Mask,swsh7,Evolving Skies,160,Uncommon,normal,0.09,0.104868,0.11,0.9533454545454546,-4.665454545454539,-0.005131999999999998,8,penny
swsh7-160,Spirit Mask,swsh7,Evolving Skies,160,Uncommon,holo,0.11,0.128172,0.18,0.7120666666666667,-28.793333333333326,-0.051827999999999985,8,penny
sv6-195,Luxray ex,sv6,Twilight Masquerade,195,Ultra Rare,normal,2.52,2.9363040000000002,3.44,0.8535767441860466,-14.642325581395344,-0.5036959999999997,11,
swsh10-62,Gallade,swsh10,Astral Radiance,62,Rare Holo,normal,0.32,0.37286400000000003,0.43,0.8671255813953489,-13.28744186046511,-0.057135999999999965,8,penny
swsh10-62,Gallade,swsh10,Astral Radiance,62,Rare Holo,holo,0.4,0.46608000000000005,0.45,1.0357333333333334,3.5733333333333395,0.01608000000000004,8,penny
sv8-89,Oricorio,sv8,Surging Sparks,89,Common,normal,0.07,0.08156400000000001,0.07,1.1652,16.520000000000003,0.011564000000000005,8,penny
sv8-89,Oricorio,sv8,Surging Sparks,89,Common,holo,0.08,0.09321600000000001,0.16,0.5826,-41.74,-0.066784,8,penny
sv1-70,Rotom,sv1,Scarlet & Violet,70,Common,normal,0.11,0.128172,0.14,0.9155142857142857,-8.448571428571427,-0.011828000000000005,8,penny
sv1-70,Rotom,sv1,Scarlet & Violet,70,Common,holo,0.11,0.128172,0.25,0.512688,-48.731199999999994,-0.12182799999999999,8,penny
